NO,ID,会社名,ふりがな,カテゴリ,人数,備考
,75,日立電線(株),,1,1,学部･大学院合わせて1名
,76,アマノ(株),,1,1,"[面]学士・修士　合わせて1名推薦　留学生不可，ソフト系ならば可能性あり　
Time recorderなどのハードメーカだが総合的な情報システムを作っている。　
会長が塾の先輩で卒業生が是非ほしい　
会社は菊名にあるので見学等は人事課河邊氏に連絡すること。"
,77,エヌ・ティ・ティ・システム開発(株),,3,0,"[面]NTT関連の子会社ではない，独立系のソフトウェア開発会社　学士・修士 希望者は推薦します。　留学生可"
,78,トステム(株),,1,1,"学科、大学院合わせて１名"
,79,オリンパス(株),,1,1,"学科、大学院合わせて１名"
,80,キャノン電子(株),,3,0,"学科、大学院合わせて若干名"
,81,ニチコン(株),,3,0,
,82,(株)アイティフォー,,1,2,"学科、大学院合わせて２名"
,83,パナソニックITS(株),,1,2,"学科、大学院合わせて２名"
,84,(株)豊田自動織機,,1,1,大学院1名
,85,(株)東京機械製作所,,1,1,"[面]学士・修士　合わせて1名以上推薦 留学生不可 東京と武蔵小杉だけなので，転勤がない"
,86,アルプス電気(株),,1,1,[面]東北地区に配属　学士・修士　合わせて　1名推薦　留学生不可
,87,横河電機(株),,1,4,[面]学士・修士　合わせて4名推薦 留学生も同一条件
,88,NECエレクトロニクス(株),,1,1,[面]NECのハード部門が独立した会社 学士・修士　合わせて1名推薦 留学生可
,89,KDDI(株),,1,2,[面]学士・修士　合わせて理工学部全体で2名推薦 博士は別枠 留学生可
,90,日本ユニシス(株),,1,2,"[面]学士・修士　合わせて推薦2名 留学生も同一条件 博士，既卒は採用センター長武内氏に直接連絡すること。"
,91,アドソル日進(株),,1,1,[面]学士・修士　合わせて1名 推薦留学生不可 人材育成に注力
,92,(株)ブリヂストン,,1,2,[面]製造設備の自動化 学士・修士 合わせて推薦2名 留学生不可
,93,(株)チノー,,3,0,[面]
,94,矢崎創業(株),,3,0,[面]
,95,ZSアソシエイツ,,1,1,[面]学科､大学院合わせて1名
,96,シャープ(株),,1,2,[面]学科､大学院合わせて2名
,97,綜合警備保障(株)　（ALSOK),,3,0,[面]
,98,松下電工(株)　（National）,,1,1,学科､大学院合わせて1名
,99,日立システムアンドサービス(株),,1,2,学科､大学院合わせて2名
,100,NECモバイリング(株),,1,1,学科､大学院合わせて1名
,101,ペンタックス(株),,3,0,
,102,(株)デンソー,,1,3,学科､大学院合わせて3名
,103,沖電気工業(株),,1,1,学科､大学院合わせて1名
,104,日本航空電子(株),,1,2,学科､大学院合わせて2名
,105,(株)富士通システムソリューションズ,,1,2,学科､大学院合わせて2名
,106,レンゴー(株),,1,1,段ボールの会社
,107,大日本印刷(株),,1,2,[面]学科､大学院合わせて2名
,108,東京ソフト(株),,1,1,"[面]ユニチャームの子会社
 学士・修士　合わせて1名以上　推薦
 留学生不可
 院試後の応募については山本まで連絡すること"
,109,富士ソフトABC(株),,3,0,"[面]制御系を得意とする独立系SI
 学士・修士 合わせて1名以上　推薦
 留学生も同一条件
 院試後も可能"
,110,川崎重工(株),,1,1,"[面]学部・修士　合わせて1名　推薦
 留学生不可，博士も不可"
,111,東陽テクニカ(株),,3,0,"[面]学士・修士　合わせて1名以上　推薦
 留学生不可
 組込み系，ソフトウェア開発ツール"
,112,(株)イメージパートナー,,1,2,"[面]Unix系ミドルウェア開発，その上のアプリに進出
 ベトナムに新会社を設立，SIP，IP
 学士・修士 合わせて1名以上　推薦
 留学生も可
 連絡は2002年度中西研修士の田中伸顕氏(tanaka-n@image.co.jp)に。"
,113,日置電機(株),,1,1,"[面]長野県上田市の計測器メーカー
 勤務地は上田市
 学士・修士　合わせて1名 推薦
 留学生不可
 システム系，組込み系どちらでもよい"
,114,(株)パナソニックモバイル仙台研究所,,1,1,学科､大学院合わせて1名
,115,石川島播磨重工業(株),,1,1,"[面]管理，数理，情報　合わせて　学士・修士・博士　推薦1名
 留学生も同一条件
 応募書類あり
 連絡先　加藤格　tadasi_katou@ihi.co.jp"
,116,JFEスチール(株),,1,1,"[面]修士1名推薦
 留学生も可
 博士は別枠
 連絡先　桐谷厚志　a-kiriya@jfe-steel.co.jp"
,117,JFEエンジニアリング(株),,1,1,"[面修士1名推薦
 博士不可
 連絡先　猪俣孝治　inomata-koji@jfe-eng.co.jp"
,118,(株)東芝,,1,6,推薦６名(非公式情報)
,119,東京電力(株),,1,1,"E、SD、Jより推薦１名"
,120,ホシデン(株),,1,1,"学科、大学院より１名"
,121,(株)TOKAI,,1,2,"学科、大学院より２名"
,122,ソニーLSIデザイン,,1,1,"学科、大学院より"
,123,日本IBM,,1,4,大学院のみ（博士含む）
,124,イー・アクセス,,1,1,"学科、大学院より。本年度より携帯事業を始める。"
,125,富士通,,1,4,"修士３名、学科1名、博士別枠。履歴書に11313120201と学校コードを書くこと。"
,126,,,,,
,127,,,,,
,128,,,,,
,129,,,,,
,130,,,,,
,131
,132
,133
,134
,135
,136
,137
,138
